code,title,location
ALJ721,International News,Burwood (Melbourne)
ALJ728,Feature Writing,Burwood (Melbourne)
ALJ729,Newsroom Practice,Burwood (Melbourne)
ALL101,The Stories We Tell: Inventing Selves and Others,Burwood (Melbourne)
ALL102,From Horror to Romance: Genre and Its Revisions,Burwood (Melbourne)
ALL153,Literature for Children and Young Adults,Burwood (Melbourne)
ALL154,Power Politics and Texts for Young People,Burwood (Melbourne)
ALL202,Writing Modern Worlds,Burwood (Melbourne)
ALL228,The Golden Age in Children's Literature,Burwood (Melbourne)
ALL230,Re-Imagining Literature for Young People,Burwood (Melbourne)
ALL255,Fantasy Literature,Burwood (Melbourne)
ALL256,"Gender, Sex and Literature",Burwood (Melbourne)
ALL260,Australian Literature,Burwood (Melbourne)
ALL275,Shakespeare Today,Burwood (Melbourne)
ALL301,Global Literatures: Literary Interventions in the Present Situation,Burwood (Melbourne)
ALL326,"Gender, Sexuality and Texts for Young People",Burwood (Melbourne)
ALL350,Children's literature around the world,Burwood (Melbourne)
ALL376,Classics and Trash,Burwood (Melbourne)
ALL381,Reading the End of Nature,Burwood (Melbourne)
ALL706,Historical Fiction,Burwood (Melbourne)
ALL708,The Picture Book: Reading and Writing,Burwood (Melbourne)
ALL727,"Sex, the Body, and American Poetry",Burwood (Melbourne)
ALL728,Literary Narratives,Burwood (Melbourne)
ALL743,Foundations in Narrative Theory,Burwood (Melbourne)
ALM101,Making Social Media,Burwood (Melbourne)
ALM102,Making Video,Burwood (Melbourne)
ALM201,Gamified Media,Burwood (Melbourne)
ALM202,Quantified Media,Burwood (Melbourne)
ALR103,Introduction to Public Relations,Burwood (Melbourne)
ALR104,Strategic Communication and Writing,Burwood (Melbourne)
ALR210,Media Relations Strategy,Burwood (Melbourne)
ALR276,Ethical Communication and Citizenship,Burwood (Melbourne)
ALR279,Public Relations Management,Burwood (Melbourne)
ALR300,Public Relations Campaigns and Practice,Burwood (Melbourne)
ALR383,"Lobbying, Advocacy and Public Opinion",Burwood (Melbourne)
ALR700,Public Relations Campaigns,Burwood (Melbourne)
ALR701,Public Relations Writing and Tactics,Burwood (Melbourne)
ALR703,Digital Marketing,Burwood (Melbourne)
ALR704,"Reputation Management: Crisis, Risk and Responsibility",Burwood (Melbourne)
ALR710,Marketing Communication,Burwood (Melbourne)
ALR718,"Public Relations, Activism and Social Change",Burwood (Melbourne)
ALR731,Public Relations Theory and Practice,Burwood (Melbourne)
ALR733,Advertising Theory and Practice,Burwood (Melbourne)
ALR782,Public Affairs and Opinion Formation,Burwood (Melbourne)
ALS100,Spanish 1A,Burwood (Melbourne)
ALS150,Spanish 1B,Burwood (Melbourne)
ALS200,Spanish 2A,Burwood (Melbourne)
ALS225,Introduction to the Spanish-Speaking World,Burwood (Melbourne)
ALS250,Spanish 2B,Burwood (Melbourne)
ALS300,Intermediate Spanish 3A,Burwood (Melbourne)
ALS325,Cultures of Resistance in the Spanish - Speaking World,Burwood (Melbourne)
ALS350,Advanced Spanish 3B,Burwood (Melbourne)
ALS360,Selected Topics in Spanish,Burwood (Melbourne)
ALW101,Writer's Toolkit: Craft and Creativity,Burwood (Melbourne)
ALW102,Writing Spaces: Paradigms and Provocations,Burwood (Melbourne)
ALW205,The Role of the Editor,Burwood (Melbourne)
ALW223,"Creative Nonfiction: Inquiry, Integrity, Vulnerability",Burwood (Melbourne)
ALW225,Designing Fictions,Burwood (Melbourne)
ALW227,"Scriptwriting: Character, Event, Consequence",Burwood (Melbourne)
ALW242,Poetry: Events in Language,Burwood (Melbourne)
ALW251,Writing for Games: Designing Quests and Characters,Burwood (Melbourne)
ALW252,Writing for Young People,Burwood (Melbourne)
ALW394,Studio Writing Project,Burwood (Melbourne)
ALW395,Experimental Writing Lab,Burwood (Melbourne)
ALW396,Producing Digital Anthologies: From Concept to Publication,Burwood (Melbourne)
ALW725,Writing Manifestos,Burwood (Melbourne)
ALW730,Creative Nonfiction: the Personal Essay,Burwood (Melbourne)
ALW732,"Fiction Writing: Story, Structure and Starting Out",Burwood (Melbourne)
ALW734,Script Writing,Burwood (Melbourne)
ALW736,Experiments in Writing,Burwood (Melbourne)
ALW738,Editing,Burwood (Melbourne)
ALW739,Publishing,Burwood (Melbourne)
ALW740,Foundations in Professional and Creative Writing,Burwood (Melbourne)
ALX420,Honours Research Project A,Burwood (Melbourne)
ALX421,Honours Research Project B,Burwood (Melbourne)
ALX422,Honours Research Project C,Burwood (Melbourne)
ALX423,Honours Research Project D,Burwood (Melbourne)
ALX705,Critical and Creative Research Methods,Burwood (Melbourne)
ALX720,Minor Research Project,Burwood (Melbourne)
ALX723,Masters Research Project B,Burwood (Melbourne)
ALX724,Masters Research Project C,Burwood (Melbourne)
ALX725,Masters Research Project D,Burwood (Melbourne)
ALX726,Masters Research Theory A,Burwood (Melbourne)
ALX727,Masters Research Theory B,Burwood (Melbourne)
AMC204,3D Character Animation,Burwood (Melbourne)
AMC300,Pre-Production & Project Pitch,Burwood (Melbourne)
AMC327,Designing Animated Worlds,Burwood (Melbourne)
AMC340,Major Creative Project,Burwood (Melbourne)
APE101,Create Your Own Career,Burwood (Melbourne)
ASC101,Introduction to Sociology A,Burwood (Melbourne)
ASC102,Introduction to Sociology B,Burwood (Melbourne)
ASC206,Sociology of Health,Burwood (Melbourne)
ASC210,Youth Culture and Identity,Burwood (Melbourne)
