code,title,credit,type
SOC 207,Introduction to Social Theory,6,2
SOC 227,Genders and Sexualities,6,2
SOC 234,Social Research Methods,6,2
SOC 235,Living with Animals,6,2
SOC 238,Happiness: Investigating its Causes and Conditions,6,2
SOC 247,"Punishment: Purpose, Practice, Policy",6,2
SOC 251,"Genetics, Biotechnology and Society",6,2
SOC 280,Work Cultures,6,2
SOWK234,Welfare State and Human Services,6,2
SOWK235,Fields of Practice: Mental Health,6,2
SOWK236,Approaches and Skills: Group Work,6,2
SOWK237,Social Work and the Law,6,2
SOWK238,Approaches and Skills: Working with Individuals and Families I,6,2
SOWK241,Perspectives on Diversity,6,2
SPAN230,The Hispanic World,6,2
SPAN241,Intermediate Spanish 1,6,2
SPAN242,Intermediate Spanish 2,6,2
STAT201,Random Variables and Estimation,6,2
STAT202,Statistical Inference and Introduction to Model Building,6,2
STAT235,Statistics Project A,6,2
STAT251,Fundamentals of Biostatistics,6,2
STAT252,Statistics For the Natural Sciences,6,2
STAT291,Engineering Statistics,3,2
STS 209,Science and Culture,6,2
STS 216,"Environmental Sustainability, Risk and Governance",6,2
STS 286,"Risk, Media and Communication",6,2
VCD 201,Typography,6,2
VCD 203,Social Impact Design,6,2
ACCY305,Financial Accounting III,6,3
ACCY312,Management Accounting III,6,3
ACCY342,Auditing and Assurance Services,6,3
ARCH300,Directed Studies in Archaeology,6,3
ARCH301,Archaeology in Action: Understanding the Archaeological record,6,3
ARCH302,Digging Down Under: Archaeology of Australasia,6,3
