code,title,campus,semester,year
ASIA 2007,Asia: Cultures & Identities,North Terrace Campus,Semester 2,2018
ASIA 2023,Japan Today: Politics & Governance,North Terrace Campus,Semester 1,2018
ASIA 2028,Ten Things You Should Know About China,North Terrace Campus,Semester 1,2018
ASIA 3002,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2018
ASIA 3007,Beyond Asian Ecological Crises,North Terrace Campus,Semester 1,2018
ASIA 3018,Key Issues in Asian Studies,North Terrace Campus,Semester 2,2018
ASIA 4001,Honours Asian Studies Special Topics,North Terrace Campus,Semester 1,2018
ASIA 4002,Honours Asian Studies Theory and Methodology,North Terrace Campus,Semester 1,2018
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 2,2018
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2017
ASIA 1104,Negotiating Asia: Surviving Cultural Differences,North Terrace Campus,Semester 1,2017
ASIA 2007,Asia: Cultures & Identities,North Terrace Campus,Semester 2,2017
ASIA 2022,"China Today: Ideology, Party & Society",North Terrace Campus,Semester 1,2017
ASIA 2024,"Asian Giants: Japan, China & India",North Terrace Campus,Semester 1,2017
ASIA 3002,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2017
ASIA 4001,Honours Asian Studies Special Topics,North Terrace Campus,Semester 1,2017
ASIA 4002,Honours Asian Studies Theory and Methodology,North Terrace Campus,Semester 1,2017
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 2,2017
ASIA 4004A,Honours Asian Studies Thesis Two Year Continuing,North Terrace Campus,Semester 2,2017
ASIA 4004B,Honours Asian Studies Thesis Two Year Final,North Terrace Campus,Semester 2,2017
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2016
ASIA 1104,Negotiating Asia: Surviving Cultural Differences,North Terrace Campus,Semester 1,2016
ASIA 2007,Asia: Cultures & Identities,North Terrace Campus,Semester 2,2016
ASIA 2023,Japan Today: Politics & Governance,North Terrace Campus,Semester 1,2016
ASIA 3002,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2016
ASIA 4001,Honours Asian Studies Special Topics,North Terrace Campus,Semester 1,2016
ASIA 4002,Honours Asian Studies Theory and Methodology,North Terrace Campus,Semester 1,2016
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 2,2016
ASIA 4004A,Honours Asian Studies Thesis Two Year Continuing,North Terrace Campus,Semester 2,2016
ASIA 4004B,Honours Asian Studies Thesis Two Year Final,North Terrace Campus,Semester 2,2016
ASIA 1101,Introduction to Chinese Society and Culture,North Terrace Campus,Semester 1,2015
ASIA 1102,Introduction to Japanese Society and Culture,North Terrace Campus,Semester 1,2015
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2015
ASIA 2018,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2015
ASIA 2020,Cultures and Identities in Contemporary Japan,North Terrace Campus,Semester 2,2015
ASIA 2021,Cultures and Identities in Contemporary China,North Terrace Campus,Semester 2,2015
ASIA 2022,China Today: Politics & Governance,North Terrace Campus,Semester 1,2015
ASIA 2024,"Asian Giants: Japan, China & India",North Terrace Campus,Semester 1,2015
ASIA 2025,Ecological Crisis and Economic Power in Asia,North Terrace Campus,Semester 1,2015
ASIA 4001,Honours Asian Studies Special Topics,North Terrace Campus,Semester 1,2015
ASIA 4002,Honours Asian Studies Theory and Methodology,North Terrace Campus,Semester 1,2015
ASIA 4003,Honours Asian Studies Thesis,North Terrace Campus,Semester 2,2015
ASIA 4004A,Honours Asian Studies Thesis Two Year Continuing,North Terrace Campus,Semester 1,2015
ASIA 4004A,Honours Asian Studies Thesis Two Year Continuing,North Terrace Campus,Semester 2,2015
ASIA 4004B,Honours Asian Studies Thesis Two Year Final,North Terrace Campus,Semester 1,2015
ASIA 4004B,Honours Asian Studies Thesis Two Year Final,North Terrace Campus,Semester 2,2015
ASIA 1101,Introduction to Chinese Society and Culture,North Terrace Campus,Semester 1,2014
ASIA 1102,Introduction to Japanese Society and Culture,North Terrace Campus,Semester 1,2014
ASIA 1103,Asia and the World,North Terrace Campus,Semester 2,2014
ASIA 2018,Australia and the Asia-Pacific,North Terrace Campus,Semester 2,2014
ASIA 2020,Cultures and Identities in Contemporary Japan,North Terrace Campus,Semester 2,2014
ASIA 2021,Cultures and Identities in Contemporary China,North Terrace Campus,Semester 2,2014
ASIA 2022,China Today: Politics & Governance,North Terrace Campus,Semester 1,2014
ASIA 2023,Japan Today: Politics & Governance,North Terrace Campus,Semester 1,2014
ASIA 2025,Ecological Crisis and Economic Power in Asia,North Terrace Campus,Semester 1,2014
AUST 3002,Interculturalism: Australia's Future,North Terrace Campus,Semester 2,2019
CHIN 1001,Chinese IA,North Terrace Campus,Winter,2019
CHIN 1001,Chinese IA,North Terrace Campus,Semester 1,2019
CHIN 1002,Chinese IB,North Terrace Campus,Semester 2,2019
CHIN 2007EX,Chinese In-Country Summer School II,External,Quadmester 4,2019
CHIN 2007EX,Chinese In-Country Summer School II,External,Summer,2019
CHIN 2201,Chinese IIA,North Terrace Campus,Semester 1,2019
CHIN 2202,Chinese IIB,North Terrace Campus,Semester 2,2019
CHIN 2213,Translation Chinese Speakers: Chinese-English II,North Terrace Campus,Semester 2,2019
CHIN 3006,Translation Chinese Speakers:Chinese-English III,North Terrace Campus,Semester 2,2019
CHIN 3007,Chinese IIIA,North Terrace Campus,Semester 1,2019
CHIN 3008,Chinese IIIB,North Terrace Campus,Semester 2,2019
CHIN 3010EX,Chinese In-Country Summer School III,External,Summer,2019
CHIN 3010EX,Chinese In-Country Summer School III,External,Quadmester 4,2019
CHIN 3013,Understanding Chinese Language for Chinese Speakers,North Terrace Campus,Semester 1,2019
CHIN 3211,Chinese IIISA: Practical Chinese,North Terrace Campus,Semester 1,2019
CHIN 3221,Translation for Chinese Speakers: English-Chinese,North Terrace Campus,Semester 1,2019
CHIN 3231,Issues in Chinese Culture for Chinese Speakers,North Terrace Campus,Semester 2,2019
CHIN 1001,Chinese IA,North Terrace Campus,Semester 1,2018
CHIN 1001,Chinese IA,North Terrace Campus,Winter,2018
CHIN 1002,Chinese IB,North Terrace Campus,Semester 2,2018
CHIN 2007,Chinese In-Country Summer School II,North Terrace Campus,Summer,2018
CHIN 2007,Chinese In-Country Summer School II,North Terrace Campus,Quadmester 4,2018
CHIN 2201,Chinese IIA,North Terrace Campus,Semester 1,2018
CHIN 2202,Chinese IIB,North Terrace Campus,Semester 2,2018
CHIN 2213,Translation for Chinese Speakers: Chinese-English II,North Terrace Campus,Semester 2,2018
CHIN 3006,Translation for Chinese Speakers: Chinese-English  III,North Terrace Campus,Semester 2,2018
CHIN 3007,Chinese IIIA,North Terrace Campus,Semester 1,2018
CHIN 3008,Chinese IIIB,North Terrace Campus,Semester 2,2018
CHIN 3010,Chinese In-Country Summer School III,North Terrace Campus,Summer,2018
CHIN 3010,Chinese In-Country Summer School III,North Terrace Campus,Quadmester 4,2018
CHIN 3013,Understanding Chinese Language for Chinese Speakers,North Terrace Campus,Semester 1,2018
CHIN 3211,Chinese IIISA,North Terrace Campus,Semester 1,2018
CHIN 3212,Chinese IIISB,North Terrace Campus,Semester 2,2018
CHIN 3221,Translation for Chinese Speakers: English-Chinese,North Terrace Campus,Semester 1,2018
CHIN 3231,Issues in Chinese Culture for Chinese Speakers,North Terrace Campus,Semester 2,2018
CHIN 1001,Chinese IA,North Terrace Campus,Semester 1,2017
CHIN 1002,Chinese IB,North Terrace Campus,Semester 2,2017
CHIN 2006,Chinese Literature & Media for Chinese Speakers,North Terrace Campus,Semester 1,2017
CHIN 2007,Chinese In-Country Summer School II,North Terrace Campus,Summer,2017
CHIN 2201,Chinese IIA,North Terrace Campus,Semester 1,2017
CHIN 2202,Chinese IIB,North Terrace Campus,Semester 2,2017
CHIN 2213,Translation for Chinese Speakers: Chinese-English,North Terrace Campus,Semester 2,2017
CHIN 3006,Translation for Chinese Speakers: Chinese-English,North Terrace Campus,Semester 2,2017
CHIN 3007,Chinese IIIA,North Terrace Campus,Semester 1,2017
CHIN 3008,Chinese IIIB,North Terrace Campus,Semester 2,2017
CHIN 3009,Chinese IIIB Practical Chinese,North Terrace Campus,Semester 2,2017
CHIN 3010,Chinese In-Country Summer School III,North Terrace Campus,Summer,2017
CHIN 3211,Chinese IIISA,North Terrace Campus,Semester 1,2017
CHIN 3212,Chinese IIISB,North Terrace Campus,Semester 2,2017
CHIN 3221,Translation for Chinese Speakers: English-Chinese,North Terrace Campus,Semester 1,2017
CHIN 3222,Translation for Chinese Speakers: Project,North Terrace Campus,Semester 1,2017
