code,title,uni,state
PHYS5002,Anatomy and Biol Essentials for Physicists,University of Sydney,NSW
ANAT2553,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT2552,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT2555,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT2554,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT3552,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT3554,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT3551,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT3553,Anatomy and Histology Exchange,University of Sydney,NSW
ANAT3888,Anatomy and Histology Projects,University of Sydney,NSW
BMET2901,Anatomy and Physiology for Engineers,University of Sydney,NSW
ANAT4011,Anatomy Honours A,University of Sydney,NSW
ANAT4012,Anatomy Honours B,University of Sydney,NSW
ANAT4013,Anatomy Honours C,University of Sydney,NSW
ANAT4014,Anatomy Honours D,University of Sydney,NSW
AHCD1009,Anatomy Support (A),University of Sydney,NSW
AHCD1010,Anatomy Support (B),University of Sydney,NSW
ARCO2001,Ancient Australia: Diverse adaptations,University of Sydney,NSW
GRKA4201,Ancient Greek Honours Thesis 1,University of Sydney,NSW
GRKA4202,Ancient Greek Honours Thesis 2,University of Sydney,NSW
ANHS4011,Ancient History Honours A,University of Sydney,NSW
ANHS4012,Ancient History Honours B,University of Sydney,NSW
ANHS4013,Ancient History Honours C,University of Sydney,NSW
ANHS4014,Ancient History Honours D,University of Sydney,NSW
ANHS4201,Ancient History Thesis 1,University of Sydney,NSW
ANHS4203,Ancient History Thesis 1,University of Sydney,NSW
ANHS4204,Ancient History Thesis 2,University of Sydney,NSW
ANHS4202,Ancient History Thesis 2,University of Sydney,NSW
ARCO1000,Ancient People: Hunters and Farmers,University of Sydney,NSW
BIOL3046,Animal Behaviour,University of Sydney,NSW
BIOL3946,Animal Behaviour (Advanced),University of Sydney,NSW
BIOL3045,Animal Ecological Physiology,University of Sydney,NSW
BIOL3945,Animal Ecological Physiology (Advanced),University of Sydney,NSW
AVBS2005,Animal Energetics and Homeostasis,University of Sydney,NSW
RSCH9004,Animal Ethics,University of Sydney,NSW
AVBS3005,Animal Health and Disease,University of Sydney,NSW
VETS6105,Animal Management Systems 1,University of Sydney,NSW
VETS6205,Animal Management Systems 2,University of Sydney,NSW
VETS8021,Animal Science Research Project A,University of Sydney,NSW
VETS8022,Animal Science Research Project B,University of Sydney,NSW
VETS8023,Animal Science Research Project C,University of Sydney,NSW
VETS8024,Animal Science Research Project D,University of Sydney,NSW
AVBS2007,Animal Structure and Function,University of Sydney,NSW
AVBS3501,Animal-Veterinary Bioscience Exchange 1,University of Sydney,NSW
AVBS3502,Animal-Veterinary Bioscience Exchange 2,University of Sydney,NSW
AVBS3503,Animal-Veterinary Bioscience Exchange 3,University of Sydney,NSW
AVBS3504,Animal-Veterinary Bioscience Exchange 4,University of Sydney,NSW
AVBS3505,Animal-Veterinary Bioscience Exchange 5,University of Sydney,NSW
AVBS3506,Animal-Veterinary Bioscience Exchange 6,University of Sydney,NSW
AVBS3507,Animal-Veterinary Bioscience Exchange 7,University of Sydney,NSW
AVBS3508,Animal-Veterinary Bioscience Exchange 8,University of Sydney,NSW
AVBS1003,Animals and Us,University of Sydney,NSW
ELEC5101,Antennas and Propagation,University of Sydney,NSW
ANTH4103,Anthropology Honours Thesis 1,University of Sydney,NSW
ANTH4104,Anthropology Honours Thesis 2 and 3,University of Sydney,NSW
ANTH4102,Anthropology of Mind and Experience,University of Sydney,NSW
ANTH2632,Anthropology of the Body,University of Sydney,NSW
LAWS3411,Anti-Discrimination Law,University of Sydney,NSW
LAWS5111,Anti-Discrimination Law,University of Sydney,NSW
LAWS6856,Anti-Terrorism Law,University of Sydney,NSW
OLET1634,Anxiety and its Disorders,University of Sydney,NSW
MATH1011,Applications of Calculus,University of Sydney,NSW
BMET9981,Applied Biomedical Engineering,University of Sydney,NSW
BMET4981,Applied Biomedical Engineering,University of Sydney,NSW
ECMT6003,Applied Business Forecasting,University of Sydney,NSW
CSCD5033,Applied Clinical Research,University of Sydney,NSW
ECMT3120,Applied Econometrics,University of Sydney,NSW
BIOL3033,Applied Entomology,University of Sydney,NSW
