code,title
ARC5001,ARC5001 Advanced architecture project 3
ARC5002,ARC5002 Final architecture project
ARC5201,ARC5201 Professional practices
ARC5401,ARC5401 Architecture research
ARC5501,ARC5501 Advanced architecture studies 3
ARC5502,ARC5502 Advanced studies in architecture 4
ASC5001,ASC5001 Addiction science: A biopsychosocial overview
ASC5002,ASC5002 Socio-cultural perspectives of addiction
ASC5003,"ASC5003 Addiction policies, prevention and public health"
ASC5004,ASC5004 Addiction assessment and treatment: Practice and innovation
ASC5007,ASC5007 Recovery principles
ASC5008,ASC5008 Co-occurring disorders in mental health and addiction
ASC5009,"ASC5009 Developmental factors: Children and families, youth and early interventions"
ASC5010,ASC5010 Gambling and other process addictions
ASP1010,ASP1010 Earth to cosmos - introductory astronomy
ASP1022,ASP1022 Life in the universe - astrobiology
ASP2011,ASP2011 Astronomy
ASP2062,ASP2062 Introduction to astrophysics
ASP3012,ASP3012 Stars and galaxies
ASP3051,ASP3051 Relativity and cosmology
ASP3162,ASP3162 Computational astrophysics and the extreme universe
ASP3231,ASP3231 Observational astronomy
ASP4000,ASP4000 Astrophysics research project
ASP4001,ASP4001 Astrophysics research project A
ASP4002,ASP4002 Astrophysics research project B
ASP4020,ASP4020 Astrophysics coursework A
ASP4021,ASP4021 Astrophysics coursework B
ASP4100,ASP4100 Astrophysics honours research project
ASP4110,ASP4110 Astrophysics honours research project A
ASP4120,ASP4120 Astrophysics honours research project B
ASP4200,ASP4200 Astrophysics honours coursework
ASP4210,ASP4210 Astrophysics honours coursework A
ASP4220,ASP4220 Astrophysics honours coursework B
ASP5000,ASP5000 Advanced astrophysics research project
ASP5001,ASP5001 Advanced astrophysics research project A
ASP5020,ASP5020 Advanced astrophysics coursework A
ASP5021,ASP5021 Advanced astrophysics coursework B
ATS1001,ATS1001 Chinese introductory 1
ATS1002,ATS1002 Chinese introductory 2
ATS1020,ATS1020 Leadership for social change 1
ATS1040,ATS1040 Religions and society
ATS1041,ATS1041 World religions
ATS1044,ATS1044 Performance 1
ATS1045,ATS1045 Performance 2
ATS1046,ATS1046 Composition and music technology 1: Introduction to composition genres
ATS1047,ATS1047 Composition and music technology 2: Materials of composition
ATS1061,ATS1061 French introductory 1
ATS1062,ATS1062 French introductory 2
ATS1089,ATS1089 Fundamentals of journalism
ATS1090,ATS1090 Practice of journalism
ATS1091,ATS1091 German introductory 1
ATS1092,ATS1092 German introductory 2
ATS1111,ATS1111 Indonesian 1: Biographies
ATS1112,ATS1112 Indonesian 2: Journeys and cultural encounters
ATS1119,ATS1119 Communicating in the digital era
ATS1125,ATS1125 Public relations foundations
ATS1141,ATS1141 Japanese introductory 1
ATS1142,ATS1142 Japanese introductory 2
ATS1171,ATS1171 Korean introductory 1
ATS1172,ATS1172 Korean introductory 2
ATS1189,ATS1189 Acting 1: Theory and practice
ATS1190,ATS1190 Acting 2: Theory and practice
ATS1191,ATS1191 Spanish introductory 1
ATS1192,ATS1192 Spanish introductory 2
ATS1206,ATS1206 Media challenges
ATS1208,"ATS1208 Digital Humanities: Concepts, tools and debates"
ATS1211,ATS1211 Ukrainian introductory 1
ATS1212,ATS1212 Ukrainian introductory 2
ATS1221,ATS1221 Italian introductory 1
ATS1222,ATS1222 Italian introductory 2
ATS1229,ATS1229 Intensive introductory Italian 1 (in country)
ATS1230,ATS1230 Intensive introductory Italian 2 (in country)
ATS1247,ATS1247 Introducing archaeology 1
ATS1248,ATS1248 Introducing archaeology 2
ATS1250,ATS1250 Social justice and Indigenous Australians
ATS1254,"ATS1254 Culture, power and difference: Indigeneity and Australian identity"
ATS1255,ATS1255 Encountering cultures: Introduction to anthropology 1
ATS1261,ATS1261 Understanding human behaviour
ATS1262,ATS1262 Understanding social behaviour
ATS1263,ATS1263 Bioethics: Current controversies
ATS1264,"ATS1264 Bioethics, justice and the law"
ATS1267,ATS1267 Latin language 1
ATS1269,ATS1269 Latin language 2
ATS1279,ATS1279 Media and culture
ATS1280,ATS1280 Understanding the media
ATS1287,ATS1287 Performance in context 1
ATS1288,ATS1288 Performance in context 2
ATS1297,ATS1297 Academic writing
ATS1298,ATS1298 Professional writing
ATS1304,ATS1304 Introduction to television studies
ATS1305,ATS1305 Introduction to film studies
ATS1309,ATS1309 The global challenge
ATS1310,ATS1310 Extreme earth! Natural hazards and human vulnerability
ATS1314,ATS1314 Human rights theory 1
ATS1315,ATS1315 Human rights theory 2
ATS1316,ATS1316 Medieval worlds: From Vikings to the Silk Road
ATS1317,"ATS1317 Renaissance worlds: Conflict, art, invention"
ATS1319,ATS1319 Global Asia
ATS1320,ATS1320 Nations at war: Revolution and empire
ATS1321,ATS1321 Nations at war: The twentieth century
ATS1325,ATS1325 International studies: Origins of globalisation
ATS1326,ATS1326 International studies: Challenges of globalisation
ATS1336,"ATS1336 Yiddish language, culture and literature 1A"
ATS1337,"ATS1337 Yiddish language, culture and literature 1B"
ATS1338,ATS1338 Language and communication: Sounds and words
ATS1339,ATS1339 Language and communication: Putting words together
ATS1340,ATS1340 English for academic purposes
ATS1343,ATS1343 Popular music in global perspective
ATS1345,ATS1345 Music and history
ATS1346,ATS1346 Music and culture
ATS1347,ATS1347 Music ensemble 1
ATS1348,ATS1348 Music ensemble 2
ATS1353,ATS1353 Foundations of modern politics
ATS1365,ATS1365 Introduction to sociology
ATS1366,ATS1366 The individual and society
ATS1371,"ATS1371 Life, death and morality (Introduction to philosophy A)"
ATS1396,ATS1396 Drug cultures
ATS1420,ATS1420 The global crime problem
ATS1421,ATS1421 The complexity of crime
ATS1422,"ATS1422 Controlling crime, controlling society"
ATS1423,"ATS1423 Punishment, courts and corrections"
ATS1515,ATS1515 Reading across cultures
ATS1701,ATS1701 Terrorism and political violence: An introduction
ATS1835,"ATS1835 Time, self and mind (Introduction to philosophy B)"
ATS1873,ATS1873 Introduction to international relations
ATS1899,ATS1899 Music theory and ear training 1
ATS1900,ATS1900 Music theory and ear training 2
ATS1903,ATS1903 Introducing literature: Ways of reading
ATS1904,ATS1904 Reading the city: Literary genres
ATS1905,ATS1905 Chinese introductory for background speakers 1
ATS1906,ATS1906 Chinese introductory for background speakers 2
ATS1940,ATS1940 Chinese translation 2
ATS1945,ATS1945 Australian government and politics
ATS1959,ATS1959 Chinese translation 1
ATS2001,ATS2001 Chinese introductory 1
ATS2002,ATS2002 Chinese introductory 2
ATS2003,ATS2003 Chinese intermediate 1
ATS2004,ATS2004 Chinese intermediate 2
ATS2005,ATS2005 Chinese proficient 1
ATS2006,ATS2006 Chinese proficient 2
ATS2019,ATS2019 Beyond 'Primitive' Art: Understanding meaning and symbolism in Indigenous art
ATS2020,"ATS2020 Colonialism in comparison: Australia, New Zealand and the Pacific"
ATS2039,ATS2039 Understanding modern China
ATS2040,ATS2040 Understanding contemporary China
ATS2043,ATS2043 Chinese translation for professional purposes 1
ATS2044,ATS2044 Chinese translation for professional purposes 2
ATS2056,ATS2056 Crime and inequality
ATS2057,ATS2057 Genocide
ATS2060,ATS2060 The art of teaching music performance
ATS2063,ATS2063 French intermediate 1
ATS2064,ATS2064 French intermediate 2
ATS2065,ATS2065 French proficient 1
ATS2066,ATS2066 French proficient 2
ATS2084,ATS2084 Ancient mythologies
ATS2086,ATS2086 Leadership for social change 2
ATS2087,ATS2087 Lifestyle journalism
ATS2088,ATS2088 Russia and the US: Comparative politics
ATS2093,ATS2093 German intermediate 1
ATS2094,ATS2094 German intermediate 2
ATS2095,ATS2095 German proficient 1
ATS2096,ATS2096 German proficient 2
ATS2105,ATS2105 Theatre and performance: Theory and practice 2
ATS2106,ATS2106 An environmental history of the world: People and our planet
ATS2110,ATS2110 Slavery: A history
ATS2113,ATS2113 Indonesian 3: Contemporary issues in Indonesia
ATS2114,ATS2114 Indonesian 4: Stories and storytelling in the Indonesian archipelago
ATS2122,ATS2122 Performance 3
ATS2123,ATS2123 Performance 4
ATS2127,ATS2127 Composition and music technology 3: Spatial composition techniques
ATS2128,ATS2128 Composition and music technology 4: Composition for screen
ATS2139,ATS2139 Song writing: How to write a popular song
ATS2141,ATS2141 Japanese introductory 1
ATS2142,ATS2142 Japanese introductory 2
ATS2143,ATS2143 Japanese intermediate 1
ATS2144,ATS2144 Japanese intermediate 2
ATS2145,ATS2145 Japanese proficient 1
ATS2146,ATS2146 Japanese proficient 2
ATS2159,ATS2159 Recording and computer music production
ATS2160,"ATS2160 Language, culture and society on the Korean Peninsula"
ATS2163,ATS2163 The writing self: Creative nonfiction
ATS2164,ATS2164 Italian transformations: Reading and writing self-discovery
ATS2169,ATS2169 Photojournalism
ATS2170,ATS2170 Social entrepreneurship
ATS2171,ATS2171 Korean introductory 1
ATS2172,ATS2172 Korean introductory 2
ATS2173,ATS2173 Korean intermediate 1
ATS2174,ATS2174 Korean intermediate 2
ATS2184,ATS2184 Intercultural skills for an internationalised workplace
ATS2185,ATS2185 Biblical texts and contexts
ATS2186,ATS2186 Audio lab
ATS2187,ATS2187 Video lab
ATS2188,ATS2188 Writing lab
ATS2189,"ATS2189 Conflict and coexistence 1: Jews, Christians and Muslims from antiquity through the middle ages"
ATS2193,ATS2193 Spanish intermediate 1
ATS2194,ATS2194 Spanish intermediate 2
ATS2195,ATS2195 Spanish proficient 1
ATS2196,ATS2196 Spanish proficient 2
ATS2215,ATS2215 Ukrainian intermediate 1
ATS2216,ATS2216 Ukrainian intermediate 2
ATS2219,ATS2219 Sport journalism in the digital age
ATS2223,ATS2223 Italian intermediate 1
ATS2224,ATS2224 Italian intermediate 2
ATS2225,ATS2225 Italian proficient 1
ATS2226,ATS2226 Italian proficient 2
ATS2229,ATS2229 Intensive introductory Italian 1 (in country)
ATS2230,ATS2230 Intensive introductory Italian 2 (in country)
ATS2247,ATS2247 Italian proficient 2 (in country)
ATS2250,ATS2250 Communications and cultures in the global era
ATS2251,ATS2251 Cuba study tour
ATS2255,ATS2255 Mobile journalism
ATS2256,ATS2256 Political psychology
ATS2257,"ATS2257 Long-form television: ""HBO"" and beyond"
ATS2269,"ATS2269 Exploring contemporary Australia: People, events, ideas"
ATS2271,ATS2271 Beowulf: An interdisciplinary approach
ATS2275,ATS2275 The European Union from consensus to crisis
ATS2276,ATS2276 Modern Italian political thought
ATS2277,"ATS2277 Artefacts, objects and remains: Making sense of archaeological sites"
ATS2280,ATS2280 Video games: Industry and culture
ATS2283,ATS2283 The archaeology of empires
ATS2290,ATS2290 Global leadership and advanced research program
ATS2295,ATS2295 Screening contemporary Europe
ATS2296,ATS2296 Musical theatre 1: History and form
ATS2297,ATS2297 Musical theatre 2: Skills and performance
ATS2305,ATS2305 Digital humanities: Expanding research paradigms
ATS2310,ATS2310 Newsroom practice
ATS2323,"ATS2323 Media anthropology: Power, culture and representation"
ATS2324,ATS2324 Climate change communication
ATS2329,ATS2329 Project in applied digital humanities
ATS2330,"ATS2330 State sovereignty, human rights, and the responsibility to protect"
ATS2331,ATS2331 Music - Overseas study program 1
ATS2332,ATS2332 Music - Overseas study program 2
ATS2333,ATS2333 Jazz history
ATS2334,ATS2334 Human rights discourse: A practical and conceptual history
ATS2335,"ATS2335 War and memory: Resistance, massacre and representation in second world war Italy"
ATS2337,ATS2337 The Minotaur to the Trojan war: Aegean archaeology
ATS2341,"ATS2341 Asian imaginaries: Bollywood, Manga and other fictions in Asian worlds"
ATS2344,ATS2344 Study tour in Italy: Etruscan and Roman archaeology
