code,title,meta
CMM03189,Indigenous Research Theory and Practice (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
FOR03169,Minor Thesis (Part 1 of 2) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
EDU93001,Research Methods in Education (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
EDU10010,Language and Learning in your Discipline (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  6Level of learning:  Introductory        
ENG30010,Traffic and Road Safety Engineering (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
FOR03170,Minor Thesis (Part 2 of 2) (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FOR03084,Forest Operations (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
EDU92001,Work-based Professional Learning Project (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Intermediate        
EDU91003,Change and Innovation in Teaching and Learning (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
SCI10002,Science in Society (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ENG20005,Hydrology (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
BUS40005,Research Thesis (2 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
BUS40004,Research Thesis (1 of 3) (2020),Unit type: Hons UnitCredit points: 24AQF level:  8Level of learning:  Advanced        
FOR03082,Forest Modelling and Management (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FOR00104,Forest Operations (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
FOR00109,Forest Modelling and Management (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
WEL92002,Social Work in Groups and Communities (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
WEL92003,Research for Social Work (2020),Unit type: PG Project/Other Research UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
CMM81003,Diabetes Management in Health Systems and Settings (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Intermediate        
CMM81002,Diabetes Self-management Education Theory and Practice (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
MNG20004,Professional Hospitality Experience IV (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
MNG20003,Professional Hospitality Experience III (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
MNG20002,Professional Hospitality Experience II (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
MAT10001,Foundation Mathematics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  6Level of learning:  Introductory        
WEL92001,Social Work across the Lifespan (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
EDU00754,Research Project (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
BIO81001,Pathophysiology and Diabetes in a Global Context (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
CMM81001,Managing Diabetes as a Chronic Condition (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Introductory        
ECO82001,Economics and Quantitative Analysis (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  8Level of learning:  Intermediate        
FIN93001,Financial Management of Asia Pacific Business (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
SOC20003,"Society, Health and Illness (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
SOC20002,"Economy, Ecology, and Social Life: Local and Global Perspectives (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
POL30001,Environmental Politics (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
POL20001,Analysing Policy Problems (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
BIO10127,Coral Reefs on the Edge (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
MNG93003,Industry Research Project (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
MNG93002,Strategy and Case Analysis (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
MNG93001,Asia Pacific Business Environment (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
SOC30001,Advanced Social Research (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
LAW20001,Paralegal Placement (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
EDU01290,Outdoor Education I (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
SCI03071,Research Project I (2020),Unit type: PG Coursework UnitCredit points: 24AQF level:  9Level of learning:  Advanced        
IST03304,Postgraduate Independent Study,Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
FOR03108,Wood Science and Utilisation (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
LAW00119,Local Government and Planning Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00106,EEO and OH&S Law and Practice (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
LAW00104,Employment and Industrial Relations Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
LAW00062,Wills and Estates (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00061,"Drugs, Crime and the Law (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00059,Welfare Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00058,Litigation Practice (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00057,Conveyancing Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00055,Aboriginal and Torres Strait Islander Legal Issues (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
LAW00054,Family Law Practice (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00053,Foundations of Torts (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
LAW00052,Introduction to Land Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
LAW00051,Legal Research and Writing (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
LAW00050,Criminal Process (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
LAW00004,Company Law (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY10222,Computing Project II: Development and Implementation (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ISY10221,Computing Project I: Analysis and Design (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
ISY10212,Contemporary Issues in Information Technology (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ISY10209,Web Development I (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Introductory        
ISY10058,Electronic Commerce Systems (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY03087,Remote Sensing and Spatial Analysis (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Intermediate        
ISY01224,Remote Sensing and Spatial Analysis (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY00740,Managing Digital Enterprise (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Advanced        
ISY00325,Audio-Video Resources for Interactive Applications (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY00324,Visual Resources for Interactive Applications (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY00245,Principles of Programming (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
ISY00244,Information and Communication Technology for Tourism (2020),Unit type: PG Coursework UnitCredit points: 12AQF level:  9Level of learning:  Introductory        
ISY00243,Systems Analysis and Design (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
HUM00275,Cultural Studies Research Project (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
HUM00274,EcoCultural Studies (2020),Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
HUM00273,"Borderlands: Identity, Culture and Belonging (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Advanced        
HUM00272,"Space, Place and Travel (2020)",Unit type: UG Coursework UnitCredit points: 12AQF level:  7Level of learning:  Intermediate        
