code,title,uni,state
BADP2003,Light and Sound,University of Sydney,NSW
BADP2004,Building Technologies,University of Sydney,NSW
BADP2005,City Design and Urban Ecology,University of Sydney,NSW
BADP3001,Designing for Environmental Quality,University of Sydney,NSW
BADP3002,Property and the Built Environment,University of Sydney,NSW
BAEN1001,Design in Architecture,University of Sydney,NSW
BAEN2001,Design Integration Lab: Materials,University of Sydney,NSW
BAEN2002,Design Integration Lab: Energy,University of Sydney,NSW
BAEN3001,Design Integration Lab: Urban,University of Sydney,NSW
BAEN3002,Design Integration Lab: Capstone,University of Sydney,NSW
BANK2011,Banking and the Financial System,University of Sydney,NSW
BANK3011,Bank Financial Management,University of Sydney,NSW
BANK3012,Bank Supervision,University of Sydney,NSW
BANK3013,International Banking Management,University of Sydney,NSW
BANK3014,Private and Investment Banking,University of Sydney,NSW
BANK3600,Banking in Practice,University of Sydney,NSW
BANK6002,Bank Management,University of Sydney,NSW
BANK6003,Global Supervision of Bank Risks,University of Sydney,NSW
BANK6005,International Banking,University of Sydney,NSW
BBCL1001,"Reading Bible: Narrative, Law and Ritual",University of Sydney,NSW
BBCL1002,Biblical Themes: Joshua to Kings,University of Sydney,NSW
BBCL2603,Destruction and Messianism in Prophecy,University of Sydney,NSW
BBCL2609,Historical Jesus to Written Gospels,University of Sydney,NSW
BBCL2610,The New Testament Literature,University of Sydney,NSW
BBCL3601,Daniel and Revelation as Apocalypses,University of Sydney,NSW
BBCL3998,Industry and Community Project,University of Sydney,NSW
BBCL3999,Interdisciplinary Impact,University of Sydney,NSW
BBCL4113,Rebels in the Desert - Reading Numbers,University of Sydney,NSW
BBCL4114,Texts and Languages of Daniel,University of Sydney,NSW
BCHM4011,Biochemistry Honours A,University of Sydney,NSW
BCMB2001,Biochemistry and Molecular Biology,University of Sydney,NSW
BCMB2002,Proteins in Cells,University of Sydney,NSW
BCMB2901,Biochemistry and Molecular Biology (Advanced),University of Sydney,NSW
BCMB2902,Proteins in Cells (Advanced),University of Sydney,NSW
BCMB3001,Gene and Genome Regulation,University of Sydney,NSW
BCMB3002,Protein Function and Engineering,University of Sydney,NSW
BCMB3003,Biochemistry of Human Disease,University of Sydney,NSW
BCMB3004,Beyond The Genome,University of Sydney,NSW
BCMB3901,Gene and Genome Regulation (Advanced),University of Sydney,NSW
BCMB3902,Protein Function and Engineering (Advanced),University of Sydney,NSW
BCMB3903,Biochemistry of Human Disease (Advanced),University of Sydney,NSW
BCMB3904,Beyond The Genome (Advanced),University of Sydney,NSW
BDES1011,Architectural History/Theory 1,University of Sydney,NSW
BDES1012,Architectural Communications 1,University of Sydney,NSW
BDES1023,Architectural Technologies 1,University of Sydney,NSW
BDES1026,Architecture Studio 1A,University of Sydney,NSW
BDES1027,Architecture Studio 1B,University of Sydney,NSW
BDES1028,Honours Intensive Studio 1,University of Sydney,NSW
BDES2010,Architecture Studio 201,University of Sydney,NSW
BDES2012,Architectural Communications 2,University of Sydney,NSW
BDES2013,Architectural Technologies 2,University of Sydney,NSW
BDES2020,Architecture Studio 202,University of Sydney,NSW
BDES2021,Architectural History/Theory 2,University of Sydney,NSW
BDES2024,Art Processes,University of Sydney,NSW
BDES2026,Architecture Studio 2A,University of Sydney,NSW
BDES2027,Architecture Studio 2B,University of Sydney,NSW
BDES2028,Honours Intensive Studio 2,University of Sydney,NSW
BDES3010,Architecture Studio 301,University of Sydney,NSW
BDES3011,Architectural History/Theory 3,University of Sydney,NSW
BDES3012,Architectural Communications 3,University of Sydney,NSW
BDES3020,Architecture Studio 302,University of Sydney,NSW
BDES3023,Architectural Technologies 3,University of Sydney,NSW
BDES3025,Architectural Professional Practice,University of Sydney,NSW
BDES3026,Architecture Studio 3A,University of Sydney,NSW
BDES3027,Architecture Studio 3B,University of Sydney,NSW
BDSN2001,BioDesign Fundamentals,University of Sydney,NSW
BDSN2002,Designing for Cyber-Physical Systems,University of Sydney,NSW
BDSN3001,BioDesign Studio,University of Sydney,NSW
BETH5000,Critical Concepts in Bioethics,University of Sydney,NSW
BETH5101,Introduction to Ethical Reasoning,University of Sydney,NSW
BETH5202,Human and Animal Research Ethics,University of Sydney,NSW
BETH5203,Ethics and Public Health,University of Sydney,NSW
BETH5204,Clinical Ethics,University of Sydney,NSW
BETH5209,"Medicines Policy, Economics and Ethics",University of Sydney,NSW
BETH5301,Research Project A,University of Sydney,NSW
BHSC3021,Honours A: Research Design,University of Sydney,NSW
BHSC4005,Honours Thesis A,University of Sydney,NSW
BHSC4006,Honours Thesis B,University of Sydney,NSW
BHSC4012,Honours B: Applied Research Skills,University of Sydney,NSW
BHSC4013,Honours C: Research Project,University of Sydney,NSW
BIOL1006,Life and Evolution,University of Sydney,NSW
BIOL1007,From Molecules to Ecosystems,University of Sydney,NSW
BIOL1008,Human Biology,University of Sydney,NSW
BIOL1906,Life and Evolution (Advanced),University of Sydney,NSW
BIOL1907,From Molecules to Ecosystems (Advanced),University of Sydney,NSW
BIOL1908,Human Biology (Advanced),University of Sydney,NSW
BIOL1996,Life and Evolution (SSP),University of Sydney,NSW
BIOL1997,From Molecules to Ecosystems (SSP),University of Sydney,NSW
BIOL1998,Human Biology (Special Studies Program),University of Sydney,NSW
BIOL2021,Zoology,University of Sydney,NSW
BIOL2022,Biology Experimental Design and Analysis,University of Sydney,NSW
BIOL2024,Ecology and Conservation,University of Sydney,NSW
BIOL2029,Cells,University of Sydney,NSW
BIOL2030,Botany,University of Sydney,NSW
BIOL2031,Plants and Environment,University of Sydney,NSW
BIOL2032,Australian Wildlife Biology,University of Sydney,NSW
BIOL2033,Entomology,University of Sydney,NSW
BIOL2921,Zoology (Advanced),University of Sydney,NSW
BIOL2924,Ecology and Conservation (Advanced),University of Sydney,NSW
BIOL2929,Cells (Advanced),University of Sydney,NSW
BIOL2930,Botany (Advanced),University of Sydney,NSW
BIOL3004,Terrestrial Plant Ecology,University of Sydney,NSW
BIOL3005,Evolutionary Biology,University of Sydney,NSW
BIOL3007,Ecology,University of Sydney,NSW
BIOL3009,Terrestrial Field Ecology,University of Sydney,NSW
BIOL3010,Tropical Wildlife Biology,University of Sydney,NSW
BIOL3013,Marine Biology,University of Sydney,NSW
BIOL3016,Coral Reef Biology,University of Sydney,NSW
BIOL3018,Gene Technology and Genomics,University of Sydney,NSW
BIOL3019,Plant Protection,University of Sydney,NSW
BIOL3020,Applied Plant Function,University of Sydney,NSW
BIOL3026,Developmental Biology,University of Sydney,NSW
BIOL3029,Molecular Plant Biology,University of Sydney,NSW
BIOL3033,Applied Entomology,University of Sydney,NSW
BIOL3034,Evolution of the Australian Biota,University of Sydney,NSW
BIOL3045,Animal Ecological Physiology,University of Sydney,NSW
BIOL3046,Animal Behaviour,University of Sydney,NSW
BIOL3055,Field Studies in Biology,University of Sydney,NSW
BIOL3907,Ecology (Advanced),University of Sydney,NSW
BIOL3909,Terrestrial Field Ecology (Advanced),University of Sydney,NSW
BIOL3910,Tropical Wildlife Biology (Adv),University of Sydney,NSW
BIOL3913,Marine Biology (Advanced),University of Sydney,NSW
BIOL3916,Coral Reef Biology (Advanced),University of Sydney,NSW
BIOL3918,Gene Technology and Genomics (Adv),University of Sydney,NSW
