Code,Title,Previously,Availability,Credit Points
ICT319,Intelligent Systems,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT330,Special Topics in Information Technology,,Not available,3
ICT365,Software Development Frameworks,,"MURDOCHMURDOCH: S2-internal, S2-externalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT367,Virtual Realities and Games Software Production,,"MURDOCHMURDOCH: S1-internal, S1-externalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT369,Wireless and Interactive Networks,,MURDOCHMURDOCH: S2-internal,3
ICT371,Game Development,,"MURDOCHMURDOCH: S1-internal, S1-external",3
ICT372,Advanced Network Design and Implementation,,MURDOCHMURDOCH: S2-internal,3
ICT373,Software Architectures,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT374,Operating Systems and Systems Programming,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT375,Advanced Web Programming,2014: 'Internet Systems Programming',"MURDOCHMURDOCH: S1-internal, S1-externalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT376,Mobile Application Development,2014: 'Mobile Application Developments',"MURDOCHMURDOCH: S2-internal, S2-externalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT377,Network Security,,MURDOCHMURDOCH: S1-internal,3
ICT378,Cyber Forensics and Information Technology,2014: 'Computer Forensics',"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT379,Security Architectures and Systems Administration,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT380,Information Security Policy and Governance,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT393,Advanced Business Analysis and Design,,"MURDOCHMURDOCH: S2-internal, S2-externalDUBAI-ISCDUBAI-ISC: TMD-internalKAPLAN-SGPKAPLAN-SGP: TMA-internal",3
ICT394,Business Intelligence Application Development,,"MURDOCHMURDOCH: S1-internal, S1-externalDUBAI-ISCDUBAI-ISC: TJD-internal, TSD-internalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT396,User Interface Design,2015: 'User Interface Design'; 2014: 'Interaction Design',"MURDOCHMURDOCH: S1-internal, S1-externalKAPLAN-SGPKAPLAN-SGP: TJA-internal, TSA-internal",3
ICT397,Advanced Games Design and Programming,,"MURDOCHMURDOCH: S1-internal, S1-external",3
ICT398,Virtual Environments for Games and Simulations,,"MURDOCHMURDOCH: S2-internal, S2-external",3
ICT501,Business Analysis and Systems Development Approaches,,"MURDOCHMURDOCH: S2-internal, S2-external",3
ICT502,Applied Information Security Management,,"MURDOCHMURDOCH: S2-internal, S2-external",3
ICT505,Knowledge Management,,MURDOCHMURDOCH: S2-internal,3
ICT508,Information Technology Project Management,2013: ICT618,MURDOCHMURDOCH: S1-internal,3
ICT510,Honours Thesis in Computer Science,2014: ICT4029,"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",12
ICT513,Data Analytics,2016: ICT509,"MURDOCHMURDOCH: S2-internal, S2-external",3
ICT515,Foundations of Data Science,2016: ICT511,MURDOCHMURDOCH: S2-internal,3
ICT520,Honours Thesis in Business Information Systems,2014: ICT40592014: 'Honours Thesis in Information Systems',"MURDOCHMURDOCH: S1-internal, S2-internal, Y-internal",12
ICT521,IT Professional Practice,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT530,"Honours Thesis in Cyber Forensics, Information Security and Management",,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT535,Advanced Business Data Communications,,MURDOCHMURDOCH: S2-internal,3
ICT546,Local Area Network Design and Implementation,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT550,Honours Thesis in Games Software Design and Production,,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT560,Special Topics in Information Technology,,Not available,3
ICT570,Honours Thesis in Games Technology,,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT576,Information Technology Literature Review,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT580,Honours Thesis in Mobile and Web Application Development,,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT581,Information Systems Principles and Practice,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT582,Python Programming Principles and Practice,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT583,Data Science Applications,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT590,Honours Thesis in Internetworking,,"MURDOCHMURDOCH: H-internal, H-external, S1-internal, S1-external, S2-internal, S2-external, Y-internal, Y-external",12
ICT601,Business Analytics,,MURDOCHMURDOCH: S2-internal,3
ICT602,Advanced Data Analysis,2016: ICT608,MURDOCHMURDOCH: S1-internal,3
ICT603,Wireless Data Communications,,MURDOCHMURDOCH: S2-internal,3
ICT609,Network Switching,,Not available,3
ICT611,Advanced Routing,,MURDOCHMURDOCH: S2-internal,3
ICT612,Human Factors in Information Technology,,MURDOCHMURDOCH: S1-internal,3
ICT613,Router and Firewall Security,,MURDOCHMURDOCH: S1-internal,3
ICT615,Information Technology Research Methods,,MURDOCHMURDOCH: S1-internal,3
ICT616,Data Resources Management,,"MURDOCHMURDOCH: S1-internal, S2-internal",3
ICT619,Artificial Intelligence,,MURDOCHMURDOCH: S1-internal,3
ICT621,IT Group Project,,"MURDOCHMURDOCH: S1-internal, S2-internal",6
ICT622,Information Technology Strategy,,MURDOCHMURDOCH: S2-internal,3
ICT623,Networking Group Project,,Not available,6
ICT625,Data Science Group Project,2016: ICT624,Not available,6
ICT631,Advanced IT Study Project,,"MURDOCHMURDOCH: S1-internal, S1-external, S2-internal, S2-external",3
ICT660,Special Topics in Information Technology,,Not available,3
