code,title,uni,state
RELN2113,Spirituality in the Everyday,University of Queensland,QLD
RELN2115,Playing God: Religion & Science,University of Queensland,QLD
RELN2117,Sociology of Religion,University of Queensland,QLD
RELN2301,Buddhism,University of Queensland,QLD
RELN2307,Islam,University of Queensland,QLD
RELN2310,"Religion, Peace and Violence",University of Queensland,QLD
RELN2409,The World of Jesus and the Early Christians,University of Queensland,QLD
RELN2410,The Bible: Narratives & Interpretations,University of Queensland,QLD
RELN3000,The Future of Religion: An Advanced Study of Contemporary Issues,University of Queensland,QLD
RELN3001,Independent Study Unit,University of Queensland,QLD
RELN3500,Advanced Study of Religious Texts A,University of Queensland,QLD
RELN3501,Advanced Study of Religious Texts B,University of Queensland,QLD
BIOL2106,Advanced Biostatistics,University of Queensland,QLD
BIOL2902,Advanced Genetics,University of Queensland,QLD
"[	
	SCIE3241",Special Project in Biology,University of Queensland,QLD
"[	
	SCIE3260","Introduction to Research in Chemistry, Biochemistry & Microbiology (A)",University of Queensland,QLD
"[	
	SCIE3261","Introduction to Research in Chemistry, Biochemistry & Microbiology (B)",University of Queensland,QLD
"[	
	SCIE3270",Introduction to Research in Agriculture and Food Science (A),University of Queensland,QLD
"[	
	SCIE3271",Introduction to Research in Agriculture and Food Science (B),University of Queensland,QLD
"[	
	BIOL6402",Critical Thinking and Communication in Biology,University of Queensland,QLD
"[	
	BIOL6403",Critical Thinking and Communication in Biology,University of Queensland,QLD
"[	
	BIOL6501",BSc(Hons) Research in Biological Sciences,University of Queensland,QLD
"[	
	BIOL6502",BSc(Hons) Research in Biological Sciences,University of Queensland,QLD
"[	
	BIOL6503",BSc(Hons) Research in Biological Sciences,University of Queensland,QLD
"[	
	BIOC6511",Honours Project,University of Queensland,QLD
"[	
	BIOC6512",Honours Project,University of Queensland,QLD
AGRC6631,Agricultural Research Methodologies,University of Queensland,QLD
"[	
	AGRC6001",Honours Research Project,University of Queensland,QLD
"[	
	AGRC6002",Honours Research Project,University of Queensland,QLD
BIOL1020,"Genes, Cells & Evolution",University of Queensland,QLD
BIOL1040,Cells to Organisms,University of Queensland,QLD
CHEM1100,Chemistry 1,University of Queensland,QLD
