course_name,course_code,meta,meta_second
Neuropsychology Placement 2A,PSYC90079,"Offered Year Long, 2020","Graduate coursework, 18.75 credit points "
Learning Area Legal Studies 2,EDUC90962,"Offered Semester 2 (Extended), 2020","Graduate coursework, 12.5 credit points "
Foundations of Agricultural Sciences 1,AGRI10045,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
"Forests, Carbon and Climate Change",FRST90032,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Data Science Project Pt2,MAST90107,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
"Innovation, Design, and Society",ANTH30019,"Offered August, 2020","Undergraduate Level 3, 12.5 credit points "
Working in Indigenous Cultural Contexts,INDG90001,"Offered August, 2020","Graduate coursework, 12.5 credit points "
Honours Chinese A,CHIN90001,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Russia and the World,HIST90037,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Language & Literacy Intervention,EDUC90508,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Practice of Statistics & Data Science,MAST90027,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Guitar Ensemble 1,MUSI10066,"Offered Semester 1, 2020","Undergraduate Level 1, 6.25 credit points "
Thesis (Masters/coursework) Part 1,PSYC90095,"Offered Semester 1, 2020","Graduate coursework, 18.75 credit points "
Project in Biomedical Science,BIOM90015,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 37.5 credit points "
Climate Change Politics and Policy,ENST90004,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Medieval and Renaissance Ensemble 1,MUSI10207,"Offered Semester 1, 2020","Undergraduate Level 1, 6.25 credit points "
Principles of Counselling 1,WELF90004,"Offered Semester 1, 2020","Graduate coursework, 6.25 credit points "
Capstone Project A,MCEN90036,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
Chemistry Research Project Pt 4,CHEM90036,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2020","Graduate coursework, 25 credit points "
Applied Farm Economic Analysis,AGRI30039,"Offered July, 2020","Undergraduate Level 3, 12.5 credit points "
Learning Area Music A 2,EDUC90464,"Offered Semester 2 (Early-Start), 2020","Graduate coursework, 12.5 credit points "
Econometrics 3,ECOM90013,"Offered Semester 1, 2020","Graduate coursework, 12.5 credit points "
Research Project (GCCL) B,LAWS90073,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Education Research Design Part 2,EDUC90932,"Offered Semester 1, 2020","Graduate coursework, 18.75 credit points "
Industry Practice 1,DRAM30022,"Offered Semester 1, 2020","Undergraduate Level 3, 12.5 credit points "
Casework/Research Report 1,DENT90041,"Offered Semester 1, 2020","Graduate coursework, 25 credit points "
Neuroimaging for Clinical Research,CLRS90017,"Offered July, 2020","Graduate coursework, 12.5 credit points "
Systems Biology,BIOL10006,"Offered Semester 1, 2020","Undergraduate Level 1, 12.5 credit points "
Internet Marketing & Electronic Commerce,BUSA90519,"Offered April, 2020","Graduate coursework, 12.5 credit points "
Spatial Analytics,ABPL90408,"Offered Term 2, 2020","Graduate coursework, 12.5 credit points "
Masters Advanced Software Project,SWEN90013,"Offered Year Long, 2020","Graduate coursework, 25 credit points "
International Law and Relations,LAWS70455,"Offered March, 2020","Graduate coursework Level 7, 12.5 credit points "
M.Epidemiology Research Project Part 1,POPH90276,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 12.5 credit points "
Advanced Studies in Biomedicine,MEDI40002,"Offered Semester 1, 2020","Honours, 12.5 credit points "
Practical Anatomy for Classical Voice 2,MUSI20212,"Offered Semester 2, 2020","Undergraduate Level 2, 6.25 credit points "
Integrated Body Mind Practices 3,DNCE20020,"Offered Semester 2 (Early-Start), 2020","Undergraduate Level 2, 6.25 credit points "
Actuarial Studies Research Essay,ACTL40001,"Offered Semester 1, Semester 2, 2020","Honours, 25 credit points "
Genomics and Health Internship,HLTH90012,"Offered Year Long, 2020","Graduate coursework, 37.5 credit points "
Critical Issues in Contemporary Art B,FINA60014,"Offered Semester 2, 2020","Graduate coursework Level 6, 12.5 credit points "
International Environmental Law,LAWS70219,"Offered August, 2020","Graduate coursework Level 7, 12.5 credit points "
Ed Psych Practicum 3,EDUC90217,"Offered Year Long (Extended), 2020","Graduate coursework, 12.5 credit points "
Computational Modelling and Simulation,COMP90083,"Offered Semester 2, 2020","Graduate coursework, 12.5 credit points "
Landscape Studio 3 Speculations,ABPL90172,"Offered Semester 1, 2020","Graduate coursework, 25 credit points "
"City Cultures, Urban Ecologies",CULS30005,"Offered Semester 2, 2020","Undergraduate Level 3, 12.5 credit points "
EMA Special Project,MGMT90164,"Offered Semester 1, Semester 2, 2020","Graduate coursework, 25 credit points "
