code,title,credit,location,area
ARTS2692,Syntax,6,Sydney,Arts
ARTS2693,Psycholinguistics,6,Sydney,Arts
ARTS2694,Phonology: Theory and Description,6,Sydney,Arts
ARTS2696,The Grammar of English,6,Sydney,Arts
ARTS2698,Intercultural Interaction,6,Sydney,Arts
ARTS2750,Modern Latin America: Dependency and Development,6,Sydney,Arts
ARTS2751,International Development,6,Sydney,Arts
ARTS2754,Research for Impact in Global Development,6,Sydney,Arts
ARTS2755,Global Development in Practice: Concepts and Practices for Inclusive Development,6,Sydney,Arts
ARTS2785,"Europe's Age of Catastrophe, 1914-1945",6,Sydney,Arts
ARTS2813,International Security,6,Sydney,Arts
ARTS2815,Politics and Security in the Indo-Pacific,6,Sydney,Arts
ARTS2816,Who Gets What? The Global Politics of Inequality,6,Sydney,Arts
ARTS2817,"Diplomacy and Statecraft: Past, Present, Futures",6,Sydney,Arts
ARTS2818,Australian Politics,6,Sydney,Arts
ARTS2819,Globalisation and Governance,6,Sydney,Arts
ARTS2820,Justice,6,Sydney,Arts
ARTS2821,"Colonialism: Resistance, Justice, and Transition",6,Sydney,Arts
ARTS2845,"Sex, Human Rights and Justice",6,Sydney,Arts
ARTS2852,Qualitative Research for Political and Social Problems,6,Sydney,Arts
ARTS2870,"Citizens, Action and Dissent",6,Sydney,Arts
ARTS2871,Power and Powerlessness,6,Sydney,Arts
ARTS2872,Living and dying,6,Sydney,Arts
ARTS2874,Culture and Emotion,6,Sydney,Arts
ARTS2876,Understanding the Self,6,Sydney,Arts
ARTS2877,"Technologies, Culture, Society",6,Sydney,Arts
ARTS2900,"Global Feminisms: Competing Visions, Varying Histories",6,Sydney,Arts
ARTS2904,Dressed to Kill: Dress and Identity in History,6,Sydney,Arts
ARTS2906,History of Sexuality,6,Sydney,Arts
ARTS2908,"Premodern Japan: Status, Sex and Power",6,Sydney,Arts
ARTS2909,Gender in Southeast Asia,6,Sydney,Arts
ARTS3013,Performing Arts Industry Experience,6,Sydney,Arts
ARTS3022,Narrative: The Art and Science of Storytelling,6,Sydney,Arts
ARTS3023,Fiction Writing,6,Sydney,Arts
ARTS3025,Advanced Creative Writing,6,Sydney,Arts
ARTS3030,Seeing Australia/Reading Australia,6,Sydney,Arts
ARTS3039,Jane Austen in Context,6,Sydney,Arts
ARTS3040,Postcolonial Literatures,6,Sydney,Arts
ARTS3047,Contemporary Critical and Cultural Theory,6,Sydney,Arts
ARTS3049,"Literary Animals, Monsters and Machines",6,Sydney,Arts
ARTS3054,"The Getting of Wisdom: Youth, Literature and the Formation of the Self",6,Sydney,Arts
ARTS3055,Literature and Power,6,Sydney,Arts
ARTS3060,Film in the Media Landscape,6,Sydney,Arts
ARTS3061,Screen Production III (Video Project),6,Sydney,Arts
ARTS3062,Aspects of Film History: Cinematic Thinking,6,Sydney,Arts
ARTS3064,Issues in Film Styles and Aesthetics,6,Sydney,Arts
ARTS3065,Screen Emotions: Affect and Cinema,6,Sydney,Arts
ARTS3066,Documentary and Non Fiction Cinemas,6,Sydney,Arts
ARTS3068,Doing Film Festivals,6,Sydney,Arts
ARTS3090,"Media, Culture and Technology Capstone: Media Cultures",6,Sydney,Arts
ARTS3091,Advanced Media Issues,6,Sydney,Arts
ARTS3092,Media and Transformation in the Asia-Pacific,6,Sydney,Arts
ARTS3093,Media Power,6,Sydney,Arts
ARTS3096,Media and Climate Change,6,Sydney,Arts
ARTS3097,Current Debates in Media and Culture,6,Sydney,Arts
ARTS3122,Working in the Performing Arts,6,Sydney,Arts
ARTS3123,Solo Performance Making,6,Sydney,Arts
ARTS3124,Collaborative Performance Making,6,Sydney,Arts
ARTS3125,Experiments in Performance and Media,6,Sydney,Arts
ARTS3131,Australian Drama,6,Sydney,Arts
ARTS3132,Based on a True Story: Theatres of the Real,6,Sydney,Arts
ARTS3212,"Contemporary India Through Bollywood: Politics, Society and Culture",6,Sydney,Arts
ARTS3216,Chinese Media and Communication,6,Sydney,Arts
ARTS3218,Japanese History: Modern Miracles and Mythologies,6,Sydney,Arts
ARTS3220,"Asian Cities: Studies in History, Culture and Trade",6,Sydney,Arts
ARTS3240,Environmental Humanities Capstone,6,Sydney,Arts
ARTS3241,Environmental Justice,6,Sydney,Arts
ARTS3242,Environmental History,6,Sydney,Arts
ARTS3243,Remaking Nature: The Politics of Biotechnology,6,Sydney,Arts
ARTS3270,Reflecting on Histories and Historians: Capstone,6,Sydney,Arts
ARTS3283,Roman Emperors: From Augustus to Nero,6,Sydney,Arts
ARTS3289,Documentary Film and History,6,Sydney,Arts
ARTS3292,Migrants and Refugees in Australian History,6,Sydney,Arts
ARTS3295,"Understanding Nazi Germany: Origins, Structures, Explanation",6,Sydney,Arts
ARTS3330,Languages Capstone: Translation and Interpreting,6,Sydney,Arts
ARTS3360,Philosophy Capstone: Examining Pivotal Texts,6,Sydney,Arts
ARTS3366,Contemporary Debates in Moral and Political Philosophy,6,Sydney,Arts
ARTS3368,Modern European Philosophy,6,Sydney,Arts
ARTS3373,"Topics in Metaphysics, Epistemology, and Philosophy of Language",6,Sydney,Arts
ARTS3450,Advanced Chinese A,6,Sydney,Arts
ARTS3451,Advanced Chinese B,6,Sydney,Arts
ARTS3452,Professional Chinese A,6,Sydney,Arts
ARTS3453,Professional Chinese B,6,Sydney,Arts
ARTS3454,Chinese English Interpreting,6,Sydney,Arts
ARTS3455,Contemporary Chinese Literature,6,Sydney,Arts
ARTS3456,Classical Chinese Literature,6,Sydney,Arts
ARTS3458,Chinese Capstone: Re-Visioning China and Chinese Studies,6,Sydney,Arts
ARTS3462,Artistic Representations of China and the Diaspora,6,Sydney,Arts
ARTS3480,Advanced French A,6,Sydney,Arts
ARTS3481,Advanced French B,6,Sydney,Arts
ARTS3482,Professional French A,6,Sydney,Arts
ARTS3483,Professional French B,6,Sydney,Arts
ARTS3487,Key French Texts,6,Sydney,Arts
ARTS3488,French Discourse Studies,6,Sydney,Arts
ARTS3510,Advanced German A,6,Sydney,Arts
ARTS3511,Advanced German B,6,Sydney,Arts
ARTS3570,Advanced Spanish A,6,Sydney,Arts
ARTS3571,Advanced Spanish B,6,Sydney,Arts
ARTS3574,Topics in Latin American Cinema,6,Sydney,Arts
ARTS3575,Spanish Popular Culture,6,Sydney,Arts
ARTS3630,Advanced Japanese A,6,Sydney,Arts
ARTS3631,Advanced Japanese B,6,Sydney,Arts
ARTS3632,Professional Japanese A,6,Sydney,Arts
ARTS3633,Professional Japanese B,6,Sydney,Arts
ARTS3636,Contextualising Japanese: Capstone,6,Sydney,Arts
ARTS3639,Japan in Popular Culture,6,Sydney,Arts
ARTS3640,Japan and Korea: Cultures in Conflict,6,Sydney,Arts
ARTS3641,Commercial Japanese,6,Sydney,Arts
ARTS3643,Advanced Writing in Japanese,6,Sydney,Arts
ARTS3660,Advanced Korean A,6,Sydney,Arts
ARTS3661,Advanced Korean B,6,Sydney,Arts
ARTS3662,Korean Popular Culture and Language,6,Sydney,Arts
ARTS3663,Professional Korean,6,Sydney,Arts
ARTS3665,Korean Interpreting,6,Sydney,Arts
ARTS3690,Language Universals and Linguistic Typology,6,Sydney,Arts
ARTS3695,Multilingualism and Language Planning,6,Sydney,Arts
ARTS3750,"Development, Community and Environment",6,Sydney,Arts
ARTS3751,"Development Studies: Research, Practice and Ethics",6,Sydney,Arts
ARTS3755,Development in Practice: Project Design,6,Sydney,Arts
ARTS3758,Global Change Internship,6,Sydney,Arts
ARTS3759,Preparing for and Reflecting on International Internships,6,Sydney,Arts
ARTS3780,"Contemporary Germany: History, Politics, Society",6,Sydney,Arts
ARTS3783,"Great, Emerging and Declining Powers in the Contemporary World",6,Sydney,Arts
ARTS3786,Confronting the Past in Contemporary Europe,6,Sydney,Arts
ARTS3810,Politics & International Relations: Theory and Practice,6,Sydney,Arts
ARTS3812,"Manias, Panics and Crashes: Global Political Economy in an Era of Crisis",6,Sydney,Arts
ARTS3814,Australian Foreign Policy,6,Sydney,Arts
ARTS3819,Emerging Challenges in International Security,6,Sydney,Arts
ARTS3820,"How to start a revolution: activism, social movements and political change",6,Sydney,Arts
ARTS3821,The Politics of Identity in the 21st Century,6,Sydney,Arts
ARTS3822,The Art of Political Science,6,Sydney,Arts
ARTS3870,Debates and Controversies in Sociology and Anthropology,6,Sydney,Arts
ARTS3872,Media Publics,6,Sydney,Arts
ARTS3874,Culture and Human Rights,6,Sydney,Arts
ARTS3875,Decolonising Research Methods,6,Sydney,Arts
ARTS3883,Personhood in Asia,6,Sydney,Arts
ARTS3885,Trauma and Violence,6,Sydney,Arts
ARTS3886,Living Social Justice: Experience and Practice,6,Sydney,Arts
ARTS3991,Arts and Social Sciences Capstone,6,Sydney,Arts
