code,title
ANTH2024,"Mad, Bad, Sad: Cross Cultural Perspectives"
ANTH3002,The Anthropology of Politics and Power
ANTH3003,Anthropology of the City
ANTH3005,Anthropology and Indigenous Australia
ANTH3021,"Globalisation, Conflict, and Religion"
ANTH3022,"Gender, Sexuality and Global Health"
ANTH3024,Doing Ethnography
ANTH3030,Human Rights and Law
ANTH7000,Core Issues in Anthropological Theory I
ANTH7001,Core Issues in Anthropological Theory II
ANTH8015,Development Theory and Practice
ANTH8016,"Culture, Health and Disease"
ANTH8032,Global Health
ANTH8990,Master of Research - Anthropology
ANTX1006,Drugs Across Cultures
ANTX1051,Human Evolution and Diversity
ANTX2002,Illness and Healing
ANTX2007,Psychological Anthropology
APFN8990,Master of Research - Applied Finance
APPL6000,Language Teaching Methodologies
APPL6010,Planning and Programming in TESOL
APPL7020,Designing and Conducting Language-related Research
APPL7100,Exploring Discourse in Context and Action
APPL7110,Advanced Topics in Pragmatics and Intercultural Communication
APPL7250,Advanced Topics in Second Language Acquisition
APPL7400,Advanced Topics in Language for Specific Purposes
APPL7420,Advanced Topics in Teaching English for Academic Purposes
APPL8000,Communicative Grammar
APPL8010,"Genre, Discourse and Multimodality"
APPL8020,Research Methods in Language Study
APPL8030,Languages and Cultures in Contact
APPL8100,Exploring Discourse in Context and Action
APPL8110,Pragmatics and Intercultural Communication
APPL8120,"Language, Learning and Community"
APPL8200,Linguistics and Language Teaching
APPL8220,Practicum in TESOL
APPL8230,"Classroom, Curriculum and Context"
APPL8240,Language Testing and Evaluation
APPL8250,Second Language Acquisition
APPL8260,Language Teaching and Learning Beyond the Classroom
APPL8270,Reading Development and Disorders
APPL8290,Evaluating Language Classroom Practice
APPL8390,Special Studies in Applied Linguistics
APPL8400,Language for Specific Purposes
APPL8410,Literacies
APPL8420,Teaching English for Academic Purposes
ARTS1000,Humanities and the World
ARTS2000,International Exchange Experience
ARTS3000,"Integrating Knowledges, Embracing Cultures, Transforming Communities"
ARTS3100,Governance and Resistance
ARTS3500,Arts Capstone
ARTX1000,Humanities and the World
ARTX3500,Arts Capstone
ASBA8990,Master of Research - Actuarial Studies and Business Analytics
ASTR1010,Introductory Astronomy: Our Place in the Universe
ASTR1020,Other Worlds: Planets and Planetary Systems
ASTR2020,Advanced Astronomy
ASTR3010,Astrophysics
ASTR3020,Extragalactic Astronomy
ASTR3110,Data Science Techniques in Astrophysics
ASTR3810,Frontiers of Astronomy and Astrophysics
ASTR7907,Advanced Astrophysics
ASTR7908,Introduction to Cosmology
